,units,batch,MAE
0,2304,22074,0.07788724452257156
1,2304,11037,0.07738689333200455
2,2304,7358,0.07750710099935532
3,2304,5518,0.07947655767202377
4,2304,4414,0.08579827845096588
5,2048,22074,0.06686081737279892
6,2048,11037,0.0604683943092823
7,2048,7358,0.05895238369703293
8,2048,5518,0.057943571358919144
9,2048,4414,0.06653110682964325
10,1792,22074,0.07021543383598328
11,1792,11037,0.06332051008939743
12,1792,7358,0.06095658615231514
13,1792,5518,0.0609423853456974
14,1792,4414,0.06604962050914764
15,1536,22074,0.0721534863114357
16,1536,11037,0.06305170804262161
17,1536,7358,0.06168395280838013
18,1536,5518,0.06146317720413208
19,1536,4414,0.06625379621982574
20,1280,22074,0.07392169535160065
21,1280,11037,0.06867823004722595
22,1280,7358,0.0664031058549881
23,1280,5518,0.06621590256690979
24,1280,4414,0.06850157678127289
25,1024,22074,0.07115937024354935
26,1024,11037,0.06608002632856369
27,1024,7358,0.06330159306526184
28,1024,5518,0.059839315712451935
29,1024,4414,0.06549247354269028
30,768,22074,0.07703910022974014
31,768,11037,0.0734061673283577
32,768,7358,0.07331222295761108
33,768,5518,0.07369549572467804
34,768,4414,0.07800433039665222
35,512,22074,0.08231868594884872
36,512,11037,0.07778777182102203
37,512,7358,0.07676012068986893
38,512,5518,0.07563090324401855
39,512,4414,0.07873547077178955
40,256,22074,0.08232631534337997
41,256,11037,0.07275746017694473
42,256,7358,0.06987796723842621
43,256,5518,0.06863570958375931
44,256,4414,0.06926395744085312
