architecture,B,Learning rate,error,error_test
\2HL_4_units_,11036,0.0001,0.1647225171327591,0.1976189327697228
\2HL_4_units_,11036,0.0001,0.1647225171327591,0.1976189327697228
\2HL_32_units_,11036,0.0001,0.1489785760641098,0.191273746814616
\2HL_32_units_,11036,0.0001,0.1489785760641098,0.191273746814616
\2HL_32_units_,5518,0.0001,0.1176789551973343,0.1859164162984183
\2HL_64_units_,11036,0.0001,0.1101043000817299,0.1988659286629889
\2HL_64_units_,11036,0.0001,0.1101043000817299,0.1988659286629889
\2HL_64_units_,5518,0.0001,0.0762917622923851,0.1974898145897091
\2HL_64_units_,2759,0.0001,0.06785567849874496,0.1973715017949046
\2HL_64_units_,1379,0.0001,0.06608863919973373,0.2038928900746526
\2HL_64_units_,690,0.0001,0.06408971548080444,0.2015449679132595
\2HL_64_units_,345,0.0001,0.06208143755793571,0.1960349509097374
\2HL_64_units_,172,0.0001,0.06308330595493317,0.1994370707549686
\2HL_64_units_,64,0.0001,0.06212439388036728,0.1948292848016479
\2HL_64_units_,32,0.0001,0.06118868291378021,0.1902871441921694
\3HL_32_units_,5518,0.0001,0.1003807708621025,0.2095948019170419
\3HL_32_units_,5518,0.0001,0.1003807708621025,0.2095948019170419
\3HL_64_units_,32,0.0001,0.0672968700528144,0.2105184499368335
\3HL_64_units_,32,0.0001,0.0672968700528144,0.2105184499368335
\3HL_64_units_,64,0.0001,0.0619510039687156,0.2134323601650965
\3HL_64_units_,64,0.0001,0.0619510039687156,0.2134323601650965
\3HL_64_units_,5518,0.0001,0.0894816294312477,0.2243120819930844
\3HL_64_units_,5518,0.0001,0.0894816294312477,0.2243120819930844
\3HL_64_units_,11036,0.0001,0.1444594413042068,0.2503598250135884
\3HL_64_units_,11036,0.0001,0.1444594413042068,0.2503598250135884
